iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,variation,weighted_average,r2_regression_inlier,r2_orthogonal_inlier,mse_regression_inlier,mse_orthogonal_inlier,r2_regression,r2_orthogonal,mse_regression,mse_orthogonal,timeMs
38,100,0.1,0.2,100,1,500,4,1,0,0,2.5,1,1,3,0,1,1,2.39017e-17,-3.36065e-16,1,1,2.39017e-17,-3.36065e-16,0.92987
39,100,0.1,0.2,100,1,500,4,1,0,0,2.5,0,0,1,0,0.10698,0.822137,0.555044,0.538315,0.10698,0.822137,0.555044,0.538315,49.9811
39,100,0.1,0.2,100,1,500,4,1,0,0,2.5,0,0,2,0,-927.734,0.722549,577.241,0.839726,-927.734,0.722549,577.241,0.839726,47.0077
39,100,0.1,0.2,100,1,500,4,1,0,0,2.5,0,0,3,0,1,1,1.04736e-25,-9.9741e-16,1,1,1.04736e-25,-9.9741e-16,2.37474
40,100,0.1,0.2,100,1,500,4,1,0,0,2.5,0,1,1,0,-0.236873,0.769261,0.698066,0.672496,-0.236873,0.769261,0.698066,0.672496,49.2264
40,100,0.1,0.2,100,1,500,4,1,0,0,2.5,0,1,2,0,-0.576578,0.799206,0.889788,0.58522,-0.576578,0.799206,0.889788,0.58522,39.0188
40,100,0.1,0.2,100,1,500,4,1,0,0,2.5,0,1,3,0,1,1,3.39191e-25,4.58411e-16,1,1,3.39191e-25,4.58411e-16,1.10646
41,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,1,0,1,0,-33.9635,0.651961,16.412,1.1012,-6.34228,0.783847,30.3681,2.03763,51.8585
41,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,1,0,2,0,0.179332,0.879839,0.385225,0.380193,-0.128256,0.511437,4.66653,4.60558,39.6692
41,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,1,0,3,0,-2.54941,0.686598,1.66611,0.99161,0.532067,0.877808,1.9354,1.15188,1.92868
42,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,1,1,1,0,-113608,0.664767,60663.5,0.932513,-22878.3,0.881597,68334.9,1.05044,44.2784
42,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,1,1,2,0,0.184681,0.850576,0.435353,0.41565,-0.264124,0.593681,3.77564,3.60476,47.1431
42,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,1,1,3,0,-1.29183,0.687864,1.22376,0.868265,0.541512,0.890485,1.36939,0.971592,1.82574
43,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,0,0,1,0,-0.380543,0.784349,0.851137,0.678739,-0.132385,0.722609,1.83826,1.46592,53.7703
43,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,0,0,2,0,-3214.85,0.806714,1982.65,0.608348,-2693.79,0.746004,4374.59,1.34228,47.5821
43,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,0,0,3,0,-0.583369,0.719899,0.976184,0.88159,0.127271,0.757892,1.41674,1.27946,2.33328
44,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,0,1,1,0,-0.56244,0.849439,0.906684,0.436189,-1.51439,0.685067,2.89134,1.39097,53.6729
44,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,0,1,2,0,-1.02825,0.71318,1.177,0.830942,-0.541571,0.716648,1.77268,1.25149,44.5754
44,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,0,1,3,0,-0.0160046,0.796865,0.589587,0.588499,0.0053848,0.741525,1.14373,1.14162,1.31288
45,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,1,0,1,0,-39.7256,0.631572,24.9007,1.09786,-5.20081,0.912736,24.5086,1.08058,71.5184
45,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,1,0,2,0,-15.3133,0.64884,9.97433,1.0464,-1.56116,0.914236,10.123,1.062,60.3736
45,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,1,0,3,0,-1.24064,0.668771,1.36998,0.987011,0.616296,0.911762,1.51659,1.09263,3.06437
46,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,1,1,1,0,-0.171402,0.830389,0.549357,0.533051,0.0246372,0.603636,4.92886,4.78256,74.9228
46,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,1,1,2,0,-0.668076,0.77942,0.782284,0.693236,-0.0183521,0.622056,5.1461,4.56031,65.5368
46,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,1,1,3,0,-2.27422,0.701303,1.53552,0.93874,0.646851,0.909581,1.78459,1.091,2.64208
47,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,0,0,1,0,0.629397,0.954496,0.208715,0.133156,-1.57028,0.554598,3.99989,2.55185,49.9113
47,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,0,0,2,0,-13.793,0.913821,8.33109,0.252178,-50.3557,0.577761,79.9202,2.41915,49.8756
47,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,0,0,3,0,-0.616214,0.731426,0.910214,0.785906,0.222959,0.817763,1.20924,1.04409,2.38847
